         i                j             k               h               T              conc               kz     lz     por 
             22             16              1  1.0527492000E+01  1.0000000000E+01  7.9771712000E-02  2.4612355000E-12  3.E+00  1.E-01
             10             16              1  1.0432577000E+01  1.0000000000E+01  7.7439312000E-02  8.5719887000E-13  3.E+00  1.E-01
   132  1.3100000000E+01     2     0   0   1   0   0   0
             22             16              1  1.0527492000E+01  1.0000000000E+01  7.9781080000E-02  2.4612355000E-12  3.E+00  1.E-01
             10             16              1  1.0432577000E+01  1.0000000000E+01  7.7555600000E-02  8.5719887000E-13  3.E+00  1.E-01
   134  1.3300000000E+01     2     0   0   1   0   0   0
             22             16              1  1.0527492000E+01  1.0000000000E+01  7.9789955000E-02  2.4612355000E-12  3.E+00  1.E-01
             10             16              1  1.0432577000E+01  1.0000000000E+01  7.7666573000E-02  8.5719887000E-13  3.E+00  1.E-01
   136  1.3500000000E+01     2     0   0   1   0   0   0
             22             16              1  1.0527492000E+01  1.0000000000E+01  7.9798366000E-02  2.4612355000E-12  3.E+00  1.E-01
             10             16              1  1.0432577000E+01  1.0000000000E+01  7.7772463000E-02  8.5719887000E-13  3.E+00  1.E-01
   138  1.3700000000E+01     2     0   0   1   0   0   0
             22             16              1  1.0527492000E+01  1.0000000000E+01  7.9806338000E-02  2.4612355000E-12  3.E+00  1.E-01
             10             16              1  1.0432577000E+01  1.0000000000E+01  7.7873491000E-02  8.5719887000E-13  3.E+00  1.E-01
   140  1.3900000000E+01     2     0   0   1   0   0   0
             22             16              1  1.0527492000E+01  1.0000000000E+01  7.9813897000E-02  2.4612355000E-12  3.E+00  1.E-01
             10             16              1  1.0432577000E+01  1.0000000000E+01  7.7969873000E-02  8.5719887000E-13  3.E+00  1.E-01
   142  1.4100000000E+01     2     0   0   1   0   0   0
             22             16              1  1.0527492000E+01  1.0000000000E+01  7.9821065000E-02  2.4612355000E-12  3.E+00  1.E-01
             10             16              1  1.0432577000E+01  1.0000000000E+01  7.8061814000E-02  8.5719887000E-13  3.E+00  1.E-01
   144  1.4300000000E+01     2     0   0   1   0   0   0
             22             16              1  1.0527492000E+01  1.0000000000E+01  7.9827863000E-02  2.4612355000E-12  3.E+00  1.E-01
             10             16              1  1.0432577000E+01  1.0000000000E+01  7.8149513000E-02  8.5719887000E-13  3.E+00  1.E-01
   146  1.4500000000E+01     2     0   0   1   0   0   0
             22             16              1  1.0527492000E+01  1.0000000000E+01  7.9834312000E-02  2.4612355000E-12  3.E+00  1.E-01
             10             16              1  1.0432577000E+01  1.0000000000E+01  7.8233158000E-02  8.5719887000E-13  3.E+00  1.E-01
   148  1.4700000000E+01     2     0   0   1   0   0   0
             22             16              1  1.0527492000E+01  1.0000000000E+01  7.9840431000E-02  2.4612355000E-12  3.E+00  1.E-01
             10             16              1  1.0432577000E+01  1.0000000000E+01  7.8312933000E-02  8.5719887000E-13  3.E+00  1.E-01
   150  1.4900000000E+01     2     0   0   1   0   0   0
             22             16              1  1.0527492000E+01  1.0000000000E+01  7.9846238000E-02  2.4612355000E-12  3.E+00  1.E-01
             10             16              1  1.0432577000E+01  1.0000000000E+01  7.8389011000E-02  8.5719887000E-13  3.E+00  1.E-01
   152  1.5100000000E+01     2     0   0   1   0   0   0
             22             16              1  1.0527492000E+01  1.0000000000E+01  7.9851748000E-02  2.4612355000E-12  3.E+00  1.E-01
