% Shemat-Suite version: Shem-FW/AD/SM 7.50 (Smarty)                                                     
%          build: Do 18. Apr 09:27:33 CEST 2019           
%   build command line: gmake fw nohdf PROPS=basc COMPTYPE=ling64                                                                                                                                                                                                                       
%        Project: "salt_small"
%
% <time step> <deltat> <cum time>
%    <iteration> <delta head> <delta temp> (<delta conc> ...)
         31 -0.11339338E-08  0.10000000E-20 -0.63948846E-13
         32  0.26350534E-07  0.10000000E-20 -0.83003049E-13
         33  0.15347688E-07  0.10000000E-20  0.73260842E-13
         34 -0.75193043E-08  0.10000000E-20 -0.90302765E-13
         35  0.97721227E-08  0.10000000E-20  0.77340911E-13
         36 -0.18373029E-07  0.10000000E-20  0.59868777E-13
         37  0.46695448E-08  0.10000000E-20 -0.98324127E-13
         38 -0.13194999E-07  0.10000000E-20  0.61492478E-13
         39  0.57831642E-08  0.10000000E-20  0.88720697E-13
         40 -0.59692695E-09  0.10000000E-20  0.67057471E-13
         41  0.19479053E-07  0.10000000E-20 -0.73649420E-13
         42 -0.13836868E-07  0.10000000E-20 -0.94535491E-13
         43  0.29274304E-07  0.10000000E-20 -0.12384538E-12
         44 -0.11017811E-07  0.10000000E-20  0.12602419E-12
         45 -0.19996847E-07  0.10000000E-20 -0.78340112E-13
         46  0.66759043E-09  0.10000000E-20  0.10476342E-12
         47  0.13169547E-07  0.10000000E-20 -0.62269634E-13
         48 -0.11518381E-07  0.10000000E-20  0.62255756E-13
         49 -0.51021303E-08  0.10000000E-20 -0.58120175E-13
         50  0.10903385E-07  0.10000000E-20  0.60673688E-13
       6  0.155520E+06  0.820000E+01
          1  0.83835332E-03  0.10000000E-20 -0.25552735E-01
          2  0.39002408E-07  0.10000000E-20 -0.21084431E-09
          3 -0.40247443E-07  0.10000000E-20 -0.25454361E-11
          4  0.13924208E-07  0.10000000E-20 -0.76036399E-13
          5  0.10859935E-08  0.10000000E-20  0.10820511E-12
          6  0.10872220E-07  0.10000000E-20 -0.89164787E-13
          7 -0.18950047E-07  0.10000000E-20  0.60632055E-13
          8  0.69647470E-08  0.10000000E-20  0.10343115E-12
          9  0.74104634E-08  0.10000000E-20 -0.84807161E-13
         10 -0.86214627E-08  0.10000000E-20 -0.64108441E-13
         11 -0.16836736E-08  0.10000000E-20  0.76084972E-13
         12 -0.11342109E-08  0.10000000E-20 -0.75883744E-13
         13  0.15470988E-07  0.10000000E-20  0.90219499E-13
         14 -0.11531078E-07  0.10000000E-20  0.12410906E-12
         15  0.11996804E-08  0.10000000E-20 -0.85570440E-13
         16 -0.57634253E-09  0.10000000E-20  0.59695304E-13
         17 -0.18324577E-07  0.10000000E-20  0.73024919E-13
         18  0.12276686E-08  0.10000000E-20  0.67792993E-13
         19 -0.68763342E-08  0.10000000E-20  0.71068151E-13
         20  0.63338774E-08  0.10000000E-20 -0.10846879E-12
         21  0.74120976E-08  0.10000000E-20  0.93147712E-13
         22  0.62685288E-08  0.10000000E-20  0.77243767E-13
         23  0.68410912E-08  0.10000000E-20 -0.95326524E-13
         24 -0.74752080E-08  0.10000000E-20 -0.66155414E-13
         25  0.10343065E-07  0.10000000E-20  0.68584027E-13
         26 -0.46292854E-08  0.10000000E-20 -0.87485574E-13
         27  0.11480473E-07  0.10000000E-20 -0.85362273E-13
         28 -0.29838930E-07  0.10000000E-20  0.58758554E-13
         29 -0.19338579E-07  0.10000000E-20  0.90330521E-13
         30  0.21854326E-07  0.10000000E-20  0.62561067E-13
         31  0.90597680E-08  0.10000000E-20 -0.95201624E-13
         32  0.74094331E-08  0.10000000E-20 -0.63629657E-13
         33 -0.97680086E-08  0.10000000E-20 -0.75398021E-13
         34  0.12639482E-07  0.10000000E-20  0.83405505E-13
         35  0.62452017E-08  0.10000000E-20  0.81976093E-13
         36 -0.18929143E-07  0.10000000E-20 -0.66599504E-13
         37  0.86767855E-08  0.10000000E-20 -0.62005956E-13
         38  0.11054269E-08  0.10000000E-20  0.60187966E-13
         39  0.97317425E-08  0.10000000E-20 -0.64989680E-13
         40 -0.13215370E-07  0.10000000E-20  0.98934749E-13
         41  0.61092464E-10  0.10000000E-20  0.10003109E-12
       7  0.155520E+06  0.100000E+02
