% Shemat-Suite version: Shem-FW/AD/SM 7.50 (Smarty)                                                     
%          build: Do 18. Apr 09:27:33 CEST 2019           
%   build command line: gmake fw nohdf PROPS=basc COMPTYPE=ling64                                                                                                                                                                                                                       
%        Project: "salt_small"
%
% <time step> <deltat> <cum time>
%    <iteration> <delta head> <delta temp> (<delta conc> ...)
         12 -0.20160442E-08  0.10000000E-20 -0.51819660E-13
         13  0.51645586E-08  0.10000000E-20 -0.47156723E-13
         14 -0.17438850E-08  0.10000000E-20 -0.56704641E-13
         15 -0.17096653E-08  0.10000000E-20  0.35221825E-13
         16  0.12975576E-08  0.10000000E-20  0.47017945E-13
         17  0.12834178E-08  0.10000000E-20  0.47212234E-13
         18 -0.64527939E-08  0.10000000E-20 -0.49737992E-13
         19  0.59038143E-08  0.10000000E-20  0.77993167E-13
         20 -0.23200073E-08  0.10000000E-20 -0.57356897E-13
         21 -0.18505233E-08  0.10000000E-20 -0.32196468E-13
         22 -0.12811938E-08  0.10000000E-20  0.49626969E-13
         23  0.15817676E-08  0.10000000E-20  0.49668603E-13
         24 -0.37305981E-08  0.10000000E-20  0.38080650E-13
         25  0.90402779E-08  0.10000000E-20 -0.46157522E-13
         26  0.10093970E-09  0.10000000E-20  0.50404125E-13
         27 -0.28643541E-08  0.10000000E-20 -0.35041414E-13
         28 -0.17051107E-08  0.10000000E-20 -0.42271742E-13
         29  0.11527987E-08  0.10000000E-20  0.36692871E-13
         30  0.18568045E-08  0.10000000E-20  0.63296590E-13
         31 -0.48782027E-08  0.10000000E-20 -0.63005157E-13
         32  0.40321169E-08  0.10000000E-20 -0.44159121E-13
         33  0.12617818E-09  0.10000000E-20  0.39260262E-13
         34 -0.20064022E-08  0.10000000E-20 -0.59341421E-13
         35  0.35901735E-08  0.10000000E-20  0.47392645E-13
         36 -0.11623484E-08  0.10000000E-20  0.26825764E-13
         37 -0.38618708E-08  0.10000000E-20  0.32363001E-13
         38  0.11637269E-08  0.10000000E-20  0.47267745E-13
      10  0.388800E+05  0.460000E+01
          1 -0.42195225E-08  0.10000000E-20 -0.11444309E-01
          2  0.36022221E-03  0.10000000E-20 -0.27114779E-04
          3  0.11640063E-05  0.10000000E-20 -0.77950347E-07
          4  0.30001459E-08  0.10000000E-20 -0.55208997E-09
          5  0.35905998E-08  0.10000000E-20 -0.24775043E-11
          6 -0.48856350E-08  0.10000000E-20  0.56177285E-13
          7  0.20285569E-08  0.10000000E-20 -0.62200245E-13
          8  0.13501733E-09  0.10000000E-20  0.55400129E-13
          9 -0.28744296E-09  0.10000000E-20 -0.47045701E-13
      11  0.388800E+05  0.505000E+01
          1 -0.29119605E-08  0.10000000E-20 -0.96831941E-02
          2  0.31969891E-03  0.10000000E-20 -0.21861597E-04
          3  0.89840396E-06  0.10000000E-20 -0.59625352E-07
          4  0.94401003E-08  0.10000000E-20 -0.37293750E-09
          5 -0.82097458E-08  0.10000000E-20 -0.15885210E-11
          6  0.10636619E-07  0.10000000E-20 -0.42493786E-13
          7 -0.74950322E-08  0.10000000E-20 -0.48239190E-13
          8  0.23257769E-08  0.10000000E-20  0.32918113E-13
          9 -0.29754688E-09  0.10000000E-20  0.25521252E-13
         10 -0.24330475E-08  0.10000000E-20  0.32585046E-13
         11  0.50229545E-08  0.10000000E-20 -0.41647241E-13
         12 -0.37458463E-08  0.10000000E-20  0.49502069E-13
         13  0.61750498E-08  0.10000000E-20  0.48863691E-13
         14 -0.67588743E-08  0.10000000E-20  0.60548788E-13
         15  0.34671785E-08  0.10000000E-20 -0.46518345E-13
         16 -0.17339588E-08  0.10000000E-20  0.42577053E-13
         17  0.10105197E-08  0.10000000E-20  0.44186876E-13
         18  0.28594798E-08  0.10000000E-20  0.41938675E-13
         19 -0.78902076E-08  0.10000000E-20 -0.39773740E-13
         20  0.26144136E-08  0.10000000E-20  0.47711834E-13
         21  0.77228322E-08  0.10000000E-20  0.48516746E-13
         22 -0.71966113E-08  0.10000000E-20  0.55302984E-13
         23  0.27541205E-08  0.10000000E-20  0.39232506E-13
         24  0.19924897E-08  0.10000000E-20 -0.59854899E-13
         25 -0.86024770E-08  0.10000000E-20 -0.37608805E-13
         26  0.10350760E-07  0.10000000E-20 -0.55871974E-13
         27 -0.49162026E-08  0.10000000E-20  0.46004867E-13
         28 -0.28417375E-08  0.10000000E-20 -0.35804693E-13
         29  0.14445476E-08  0.10000000E-20 -0.41175396E-13
         30  0.22858302E-08  0.10000000E-20  0.33542613E-13
         31 -0.18736657E-08  0.10000000E-20  0.32474023E-13
         32 -0.15669102E-08  0.10000000E-20  0.39648840E-13
         33  0.43044324E-08  0.10000000E-20  0.48627768E-13
         34 -0.30265213E-08  0.10000000E-20  0.37345127E-13
         35  0.54547016E-08  0.10000000E-20 -0.59591221E-13
         36 -0.27455798E-08  0.10000000E-20 -0.45199955E-13
         37 -0.27077007E-08  0.10000000E-20  0.46684878E-13
         38 -0.99248609E-09  0.10000000E-20  0.55733196E-13
         39  0.35859387E-08  0.10000000E-20 -0.40231707E-13
         40 -0.44558206E-08  0.10000000E-20  0.53276827E-13
         41  0.56055143E-08  0.10000000E-20 -0.48142046E-13
         42 -0.30330654E-08  0.10000000E-20 -0.44395043E-13
         43  0.11596555E-08  0.10000000E-20  0.45602411E-13
         44 -0.45875197E-08  0.10000000E-20 -0.54595217E-13
         45  0.83270351E-08  0.10000000E-20 -0.44436677E-13
         46 -0.46211071E-08  0.10000000E-20  0.53693161E-13
      12  0.388800E+05  0.550000E+01
          1 -0.69854664E-08  0.10000000E-20 -0.82844559E-02
          2  0.28422524E-03  0.10000000E-20 -0.17623125E-04
          3  0.71428994E-06  0.10000000E-20 -0.45555386E-07
          4  0.20457804E-08  0.10000000E-20 -0.25192137E-09
          5 -0.33027092E-08  0.10000000E-20 -0.98908381E-12
          6  0.14474821E-08  0.10000000E-20 -0.48391846E-13
          7 -0.71671806E-08  0.10000000E-20  0.56940563E-13
          8  0.64768670E-08  0.10000000E-20  0.49238391E-13
          9 -0.29849900E-10  0.10000000E-20 -0.67668093E-13
      13  0.388800E+05  0.595000E+01
          1  0.38645922E-08  0.10000000E-20 -0.71509875E-02
          2  0.25312704E-03  0.10000000E-20 -0.14219412E-04
          3  0.55927356E-06  0.10000000E-20 -0.35403007E-07
          4 -0.24060398E-08  0.10000000E-20 -0.17059142E-09
          5  0.23043825E-08  0.10000000E-20 -0.63360428E-12
          6 -0.87044327E-09  0.10000000E-20 -0.45824455E-13
          7  0.71980821E-09  0.10000000E-20  0.36304293E-13
      14  0.388800E+05  0.640000E+01
          1 -0.14182930E-08  0.10000000E-20 -0.62171947E-02
          2  0.22582364E-03  0.10000000E-20 -0.11491966E-04
          3  0.44284797E-06  0.10000000E-20 -0.27390593E-07
          4  0.36308521E-08  0.10000000E-20 -0.11595416E-09
          5 -0.13038743E-08  0.10000000E-20 -0.41203152E-12
          6 -0.14263932E-08  0.10000000E-20  0.49585336E-13
          7  0.33011887E-08  0.10000000E-20 -0.36665115E-13
          8 -0.35961349E-08  0.10000000E-20  0.30919711E-13
          9 -0.41296033E-09  0.10000000E-20 -0.37969627E-13
         10  0.71724315E-09  0.10000000E-20  0.37608805E-13
         11 -0.11493952E-08  0.10000000E-20  0.34014458E-13
         12 -0.99657882E-09  0.10000000E-20 -0.52388649E-13
         13 -0.15712089E-08  0.10000000E-20  0.49071858E-13
         14 -0.27141311E-08  0.10000000E-20 -0.52610694E-13
         15 -0.27304736E-09  0.10000000E-20  0.36998182E-13
         16  0.10028032E-08  0.10000000E-20 -0.30711544E-13
         17  0.27170586E-08  0.10000000E-20  0.37914116E-13
         18  0.41772807E-09  0.10000000E-20 -0.30697667E-13
         19  0.42766857E-09  0.10000000E-20  0.49987792E-13
         20 -0.10044374E-08  0.10000000E-20  0.30336844E-13
      15  0.388800E+05  0.685000E+01
          1 -0.52796310E-08  0.10000000E-20 -0.54374079E-02
          2  0.20179327E-03  0.10000000E-20 -0.93074082E-05
          3  0.34780609E-06  0.10000000E-20 -0.21136511E-07
          4  0.52244502E-08  0.10000000E-20 -0.79207960E-10
