%       "time"           "x"            "y"           "z"      "uindex"    "i"  "j"  "k"          "head"           "temp"           "pres"    "satn"           "epot"             "vx"             "vy"             "vz"          "bhpr"            "kz" 
%
  0.210000000E+00  0.675000E+03   0.738500E+03   0.100000E+02         1    10    35     1  0.19882166E+02   0.20000000E+02   0.19694405E+00   0.00000000E+00   0.00000000E+00   0.51068153E-07  -0.32011673E-16   0.00000000E+00   0.00000000E+00   0.10000000E-11
  0.210000000E+00  0.580000E+03   0.738500E+03   0.100000E+02         1     5    35     1  0.19998675E+02   0.20000000E+02   0.19808700E+00   0.00000000E+00   0.00000000E+00   0.87450347E-09   0.38337333E-17   0.00000000E+00   0.00000000E+00   0.10000000E-11
%
  0.245000000E+00  0.728500E+03   0.738500E+03   0.100000E+02         1    25    35     1  0.18614036E+02   0.20000000E+02   0.18450369E+00   0.00000000E+00   0.00000000E+00   0.78313935E-06   0.62631004E-15   0.00000000E+00   0.00000000E+00   0.10000000E-11
  0.245000000E+00  0.722000E+03   0.738500E+03   0.100000E+02         1    20    35     1  0.19007563E+02   0.20000000E+02   0.18836419E+00   0.00000000E+00   0.00000000E+00   0.45757146E-06   0.44056566E-15   0.00000000E+00   0.00000000E+00   0.10000000E-11
  0.245000000E+00  0.707500E+03   0.738500E+03   0.100000E+02         1    15    35     1  0.19467843E+02   0.20000000E+02   0.19287954E+00   0.00000000E+00   0.00000000E+00   0.21265543E-06   0.51964513E-16   0.00000000E+00   0.00000000E+00   0.10000000E-11
  0.245000000E+00  0.675000E+03   0.738500E+03   0.100000E+02         1    10    35     1  0.19854704E+02   0.20000000E+02   0.19667465E+00   0.00000000E+00   0.00000000E+00   0.58068681E-07  -0.65173467E-17   0.00000000E+00   0.00000000E+00   0.10000000E-11
  0.245000000E+00  0.580000E+03   0.738500E+03   0.100000E+02         1     5    35     1  0.19997814E+02   0.20000000E+02   0.19807855E+00   0.00000000E+00   0.00000000E+00   0.13073943E-08   0.23350921E-17   0.00000000E+00   0.00000000E+00   0.10000000E-11
%
  0.280000000E+00  0.728500E+03   0.738500E+03   0.100000E+02         1    25    35     1  0.18556997E+02   0.20000000E+02   0.18394414E+00   0.00000000E+00   0.00000000E+00   0.78543767E-06   0.92884388E-15   0.00000000E+00   0.00000000E+00   0.10000000E-11
  0.280000000E+00  0.722000E+03   0.738500E+03   0.100000E+02         1    20    35     1  0.18952492E+02   0.20000000E+02   0.18782394E+00   0.00000000E+00   0.00000000E+00   0.46120514E-06   0.76000278E-15   0.00000000E+00   0.00000000E+00   0.10000000E-11
  0.280000000E+00  0.707500E+03   0.738500E+03   0.100000E+02         1    15    35     1  0.19419867E+02   0.20000000E+02   0.19240890E+00   0.00000000E+00   0.00000000E+00   0.21842995E-06   0.10868634E-15   0.00000000E+00   0.00000000E+00   0.10000000E-11
  0.280000000E+00  0.675000E+03   0.738500E+03   0.100000E+02         1    10    35     1  0.19827877E+02   0.20000000E+02   0.19641147E+00   0.00000000E+00   0.00000000E+00   0.64051049E-07   0.48095927E-17   0.00000000E+00   0.00000000E+00   0.10000000E-11
  0.280000000E+00  0.580000E+03   0.738500E+03   0.100000E+02         1     5    35     1  0.19996659E+02   0.20000000E+02   0.19806722E+00   0.00000000E+00   0.00000000E+00   0.18246208E-08   0.16729018E-17   0.00000000E+00   0.00000000E+00   0.10000000E-11
%
  0.315000000E+00  0.728500E+03   0.738500E+03   0.100000E+02         1    25    35     1  0.18506926E+02   0.20000000E+02   0.18345295E+00   0.00000000E+00   0.00000000E+00   0.78716873E-06  -0.27930490E-15   0.00000000E+00   0.00000000E+00   0.10000000E-11
  0.315000000E+00  0.722000E+03   0.738500E+03   0.100000E+02         1    20    35     1  0.18903909E+02   0.20000000E+02   0.18734735E+00   0.00000000E+00   0.00000000E+00   0.46396127E-06  -0.57544337E-15   0.00000000E+00   0.00000000E+00   0.10000000E-11
  0.315000000E+00  0.707500E+03   0.738500E+03   0.100000E+02         1    15    35     1  0.19376733E+02   0.20000000E+02   0.19198575E+00   0.00000000E+00   0.00000000E+00   0.22292751E-06  -0.37877285E-15   0.00000000E+00   0.00000000E+00   0.10000000E-11
  0.315000000E+00  0.675000E+03   0.738500E+03   0.100000E+02         1    10    35     1  0.19801948E+02   0.20000000E+02   0.19615711E+00   0.00000000E+00   0.00000000E+00   0.69172583E-07  -0.42205919E-16   0.00000000E+00   0.00000000E+00   0.10000000E-11
  0.315000000E+00  0.580000E+03   0.738500E+03   0.100000E+02         1     5    35     1  0.19995190E+02   0.20000000E+02   0.19805281E+00   0.00000000E+00   0.00000000E+00   0.24151812E-08   0.66219030E-18   0.00000000E+00   0.00000000E+00   0.10000000E-11
%
  0.350000000E+00  0.728500E+03   0.738500E+03   0.100000E+02         1    25    35     1  0.18462310E+02   0.20000000E+02   0.18301526E+00   0.00000000E+00   0.00000000E+00   0.78851947E-06  -0.93055164E-15   0.00000000E+00   0.00000000E+00   0.10000000E-11
  0.350000000E+00  0.722000E+03   0.738500E+03   0.100000E+02         1    20    35     1  0.18860456E+02   0.20000000E+02   0.18692108E+00   0.00000000E+00   0.00000000E+00   0.46612276E-06  -0.11159301E-14   0.00000000E+00   0.00000000E+00   0.10000000E-11
  0.350000000E+00  0.707500E+03   0.738500E+03   0.100000E+02         1    15    35     1  0.19337593E+02   0.20000000E+02   0.19160178E+00   0.00000000E+00   0.00000000E+00   0.22652397E-06  -0.49598054E-15   0.00000000E+00   0.00000000E+00   0.10000000E-11
  0.350000000E+00  0.675000E+03   0.738500E+03   0.100000E+02         1    10    35     1  0.19777037E+02   0.20000000E+02   0.19591274E+00   0.00000000E+00   0.00000000E+00   0.73578440E-07  -0.48305040E-16   0.00000000E+00   0.00000000E+00   0.10000000E-11
  0.350000000E+00  0.580000E+03   0.738500E+03   0.100000E+02         1     5    35     1  0.19993398E+02   0.20000000E+02   0.19803524E+00   0.00000000E+00   0.00000000E+00   0.30666684E-08  -0.15334933E-17   0.00000000E+00   0.00000000E+00   0.10000000E-11
%
  0.385000000E+00  0.728500E+03   0.738500E+03   0.100000E+02         1    25    35     1  0.18422078E+02   0.20000000E+02   0.18262059E+00   0.00000000E+00   0.00000000E+00   0.78960283E-06  -0.82059319E-15   0.00000000E+00   0.00000000E+00   0.10000000E-11
